threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy
0.01,0.6840025292443882,0.9997689463955638,0.8122770790313497,313,1999,1,4327,0.952710843373494,0.8646193771626297,0.0002310536044362292,0.13538062283737023,0.567574784616467
0.02,0.6934294871794872,0.9997689463955638,0.81888720666162,399,1913,1,4327,0.9397590361445783,0.8274221453287197,0.0002310536044362292,0.17257785467128028,0.586173400533422
0.03,0.6981923821820529,0.9995378927911276,0.82212086659065,442,1870,2,4326,0.9331325301204819,0.8088235294117647,0.0004621072088724584,0.19117647058823528,0.5953571816896814
0.04,0.7056616087453091,0.9993068391866913,0.8271970928564598,508,1804,3,4325,0.9230421686746988,0.7802768166089965,0.0006931608133086876,0.21972318339100347,0.6095150112888473
0.05,0.7133663366336633,0.9988447319778189,0.8323065075086639,575,1737,5,4323,0.9126506024096386,0.7512975778546713,0.0011552680221811461,0.24870242214532873,0.6237735770615738
0.06,0.7197133811031495,0.9979205175600739,0.8362861845289961,630,1682,9,4319,0.9037650602409638,0.7275086505190311,0.0020794824399260627,0.27249134948096887,0.6352059335205213
0.07,0.7296383913484286,0.9976894639556377,0.8428655084911185,712,1600,10,4318,0.8912650602409639,0.6920415224913494,0.0023105360443622922,0.3079584775086505,0.6528239707321442
0.08,0.7420075627363355,0.9974584103512015,0.8509757539917209,811,1501,11,4317,0.8762048192771085,0.6492214532871973,0.0025415896487985213,0.3507785467128028,0.6741184785320021
0.09,0.7501305937663242,0.9953789279112755,0.8555257670539171,877,1435,20,4308,0.8649096385542169,0.620674740484429,0.0046210720887245845,0.37932525951557095,0.6873520937134232
0.1,0.7586450247000706,0.9935304990757856,0.860344137655062,944,1368,28,4300,0.8536144578313253,0.5916955017301038,0.006469500924214418,0.4083044982698962,0.7009174986728409
0.11,0.7641071428571429,0.9886783733826248,0.8620064464141821,991,1321,49,4279,0.8433734939759037,0.5713667820069204,0.01132162661737523,0.4286332179930796,0.7086557956878522
0.12,0.7725127087872186,0.9831330868761553,0.865189101260675,1059,1253,73,4255,0.8295180722891566,0.541955017301038,0.01686691312384473,0.45804498269896193,0.7205890347875586
0.13,0.7794900018345258,0.9817467652495379,0.8690050107372942,1110,1202,79,4249,0.8209337349397591,0.5198961937716263,0.018253234750462106,0.4801038062283737,0.7309252857389558
0.14,0.7874907201187825,0.9803604436229205,0.8734046932894195,1167,1145,85,4243,0.8114457831325301,0.495242214532872,0.01963955637707948,0.504757785467128,0.7425591145450243
0.15,0.7944205205017787,0.9803604436229205,0.87765022236012,1214,1098,85,4243,0.8043674698795181,0.4749134948096886,0.01963955637707948,0.5250865051903114,0.752723474406616
0.16,0.8014358586812772,0.9801293900184843,0.8818210165263486,1261,1051,86,4242,0.7971385542168675,0.4545847750865052,0.019870609981515713,0.5454152249134948,0.7627723074659896
