strategy_name,strategy_description,split,assigned_run_ids,row_count,percentage_of_total_rows,positive_rows,negative_rows,positive_rate,machine_count,run_count,both_classes_exist,run_overlap_detected,chronology_respected_per_machine,all_splits_have_both_classes,reasonable_dataset_proportions,extreme_test_set_warning,strategy_score,recommended_strategy,recommendation_status
per_machine_latest_run_test,"Per machine: latest run test, preceding run validation when available, all earlier runs train; a two-run machine contributes train and test.",train,"[""89cdc34b-e02b-43b4-9284-144276df508a"", ""6835f125-a038-4092-beff-5107ae998b39"", ""b061a54a-3bc5-4bda-8e62-43c18a5efae6"", ""c3c80671-0ec8-4d3f-b82d-88838f02de24"", ""5d46b502-68d6-4762-adf6-dfc2fa98f132"", ""1c32e36e-8e45-4887-823e-0ee6de7a5cfe"", ""90c048bb-46c5-4345-a113-d3bc37b876cb"", ""795ee584-86ed-4fe5-b317-3d022b850274"", ""d88b15dd-1915-43ca-90ef-69f31ff4d9c1"", ""ec61755d-b5be-42ac-875d-3123e92add7a"", ""fac82c2e-545a-402a-80f8-3d1fccb72c68"", ""19127a70-e60c-4b47-b3e6-71e89175c174"", ""f81f7ffe-2f6d-4479-937f-cc82e574c286"", ""6c7905b0-5124-4d83-8709-a6176c981aec"", ""81d2476d-af90-434e-8518-502c7195564c"", ""1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d"", ""f3c83d3f-0563-4e35-aa47-2e79402b0105"", ""96f661cc-1233-4539-a814-c4c352953500"", ""b1dd3935-56dd-4497-a77e-67128988e2c9"", ""5bca2646-6745-4bbb-987d-ccb0a4486506"", ""2e9f4457-2a7f-4647-87ed-b86ac6343d33"", ""f24e9c1a-f11e-405c-b663-45fa6e25c405"", ""373070d1-ba59-4244-88ab-2d44a21f4983"", ""70577f8e-1430-4489-8602-2096521ab84e"", ""fc583c4c-4107-450e-959d-c74895b57935"", ""e4e219be-13ba-4874-aad6-93d0b6f5f289"", ""67c192c0-13a4-427a-b8e3-193c8fd99883"", ""28ca5ae9-faed-4da3-8350-e2605f94aa88"", ""4c9f7e66-830f-4c54-bfd5-f4d898f5464e"", ""ea7c3f9f-8a45-4892-8f21-a77488321622"", ""c89dd147-c631-4848-a604-72c697e9da2b"", ""0fc9db54-83d3-456a-b9ea-1aa8a6f66cf9"", ""baa2a6f4-7121-4bce-9c80-611ebc22ceaf"", ""af502e6e-1657-4248-8b91-ce01c14277b9"", ""9753a7c0-658b-4111-8e40-d347a98a680a"", ""d4a43abe-57cb-4513-b782-4b927879f358"", ""22fc3390-8d4a-4b01-b11e-c10adffcab2d"", ""1e0bd844-6541-4320-8474-1b01bab00799"", ""e4d80512-c282-45fb-8d13-e4e33eebfd72"", ""6a1c86bc-1e52-4235-ac04-6d94cf1c3c5e"", ""f630b56e-4353-401a-bf40-5ed332d157f9"", ""00f4a034-46ce-498e-b844-f1aa52fc6800"", ""cc2a1e74-06e7-4cb1-92cd-6b21a91f240f"", ""a364637b-ebf8-43fa-8bd3-e46987008b24"", ""6035cb87-b9f3-4e5d-90f3-c7fea3d65d9c"", ""cb0385d1-3fc6-46f1-83c5-f7338a4e7bac"", ""bbe7c827-8a4d-4ba5-84f4-67c88a77fe20""]",104247,78.3718,31895,72352,30.5956,4,47,True,False,True,True,False,True,6.0,False,alternative_not_selected
per_machine_latest_run_test,"Per machine: latest run test, preceding run validation when available, all earlier runs train; a two-run machine contributes train and test.",validation,"[""aa94b19f-b5c4-474e-ba62-cf034f43347f"", ""93aafd38-c91e-42a7-b67f-90287b9dd6f7"", ""cf6e2a7e-5b3d-4f7b-a21f-e9ffd68b5268"", ""35472c29-8dd3-49be-8d6b-1984d158745d""]",14780,11.1114,9464,5316,64.0325,4,4,True,False,True,True,False,True,6.0,False,alternative_not_selected
per_machine_latest_run_test,"Per machine: latest run test, preceding run validation when available, all earlier runs train; a two-run machine contributes train and test.",test,"[""6ae194e7-276b-4eef-94d3-d67c6be4b535"", ""adc86181-d9a4-4cf6-a8be-4be144db7799"", ""ee6b8dde-602e-4c14-b533-43bcfcba11ea"", ""03b262cc-46f0-4837-a184-1eea22fdfdd0""]",13989,10.5168,9108,4881,65.1083,4,4,True,False,True,True,False,True,6.0,False,alternative_not_selected
per_machine_chronological_65_15_20,"For each machine, choose complete-run chronological cut points closest to 65% train, 15% validation, and 20% test by row count.",train,"[""89cdc34b-e02b-43b4-9284-144276df508a"", ""6835f125-a038-4092-beff-5107ae998b39"", ""b061a54a-3bc5-4bda-8e62-43c18a5efae6"", ""c3c80671-0ec8-4d3f-b82d-88838f02de24"", ""5d46b502-68d6-4762-adf6-dfc2fa98f132"", ""1c32e36e-8e45-4887-823e-0ee6de7a5cfe"", ""d88b15dd-1915-43ca-90ef-69f31ff4d9c1"", ""ec61755d-b5be-42ac-875d-3123e92add7a"", ""fac82c2e-545a-402a-80f8-3d1fccb72c68"", ""19127a70-e60c-4b47-b3e6-71e89175c174"", ""f81f7ffe-2f6d-4479-937f-cc82e574c286"", ""6c7905b0-5124-4d83-8709-a6176c981aec"", ""81d2476d-af90-434e-8518-502c7195564c"", ""1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d"", ""2e9f4457-2a7f-4647-87ed-b86ac6343d33"", ""f24e9c1a-f11e-405c-b663-45fa6e25c405"", ""373070d1-ba59-4244-88ab-2d44a21f4983"", ""70577f8e-1430-4489-8602-2096521ab84e"", ""fc583c4c-4107-450e-959d-c74895b57935"", ""e4e219be-13ba-4874-aad6-93d0b6f5f289"", ""67c192c0-13a4-427a-b8e3-193c8fd99883"", ""28ca5ae9-faed-4da3-8350-e2605f94aa88"", ""4c9f7e66-830f-4c54-bfd5-f4d898f5464e"", ""ea7c3f9f-8a45-4892-8f21-a77488321622"", ""c89dd147-c631-4848-a604-72c697e9da2b"", ""af502e6e-1657-4248-8b91-ce01c14277b9"", ""9753a7c0-658b-4111-8e40-d347a98a680a"", ""d4a43abe-57cb-4513-b782-4b927879f358"", ""22fc3390-8d4a-4b01-b11e-c10adffcab2d"", ""1e0bd844-6541-4320-8474-1b01bab00799"", ""e4d80512-c282-45fb-8d13-e4e33eebfd72"", ""6a1c86bc-1e52-4235-ac04-6d94cf1c3c5e"", ""f630b56e-4353-401a-bf40-5ed332d157f9"", ""00f4a034-46ce-498e-b844-f1aa52fc6800"", ""cc2a1e74-06e7-4cb1-92cd-6b21a91f240f"", ""a364637b-ebf8-43fa-8bd3-e46987008b24"", ""6035cb87-b9f3-4e5d-90f3-c7fea3d65d9c"", ""cb0385d1-3fc6-46f1-83c5-f7338a4e7bac"", ""bbe7c827-8a4d-4ba5-84f4-67c88a77fe20""]",82860,62.2933,28198,54662,34.0309,4,39,True,False,True,True,True,False,10.0,True,proposal_requires_manual_approval
per_machine_chronological_65_15_20,"For each machine, choose complete-run chronological cut points closest to 65% train, 15% validation, and 20% test by row count.",validation,"[""90c048bb-46c5-4345-a113-d3bc37b876cb"", ""f3c83d3f-0563-4e35-aa47-2e79402b0105"", ""96f661cc-1233-4539-a814-c4c352953500"", ""b1dd3935-56dd-4497-a77e-67128988e2c9"", ""0fc9db54-83d3-456a-b9ea-1aa8a6f66cf9"", ""baa2a6f4-7121-4bce-9c80-611ebc22ceaf"", ""35472c29-8dd3-49be-8d6b-1984d158745d""]",22212,16.6987,10913,11299,49.1311,4,7,True,False,True,True,True,False,10.0,True,proposal_requires_manual_approval
per_machine_chronological_65_15_20,"For each machine, choose complete-run chronological cut points closest to 65% train, 15% validation, and 20% test by row count.",test,"[""795ee584-86ed-4fe5-b317-3d022b850274"", ""aa94b19f-b5c4-474e-ba62-cf034f43347f"", ""6ae194e7-276b-4eef-94d3-d67c6be4b535"", ""5bca2646-6745-4bbb-987d-ccb0a4486506"", ""93aafd38-c91e-42a7-b67f-90287b9dd6f7"", ""adc86181-d9a4-4cf6-a8be-4be144db7799"", ""cf6e2a7e-5b3d-4f7b-a21f-e9ffd68b5268"", ""ee6b8dde-602e-4c14-b533-43bcfcba11ea"", ""03b262cc-46f0-4837-a184-1eea22fdfdd0""]",27944,21.008,11356,16588,40.6384,4,9,True,False,True,True,True,False,10.0,True,proposal_requires_manual_approval
global_chronological_blocks,"All runs ordered globally by start time: earliest 4 train, next 3 validation, and all remaining runs test (an intentionally conservative legacy comparison).",train,"[""89cdc34b-e02b-43b4-9284-144276df508a"", ""6835f125-a038-4092-beff-5107ae998b39"", ""2e9f4457-2a7f-4647-87ed-b86ac6343d33"", ""f24e9c1a-f11e-405c-b663-45fa6e25c405""]",15975,12.0098,1053,14922,6.5915,2,4,True,False,True,True,False,True,4.0,False,alternative_not_selected
global_chronological_blocks,"All runs ordered globally by start time: earliest 4 train, next 3 validation, and all remaining runs test (an intentionally conservative legacy comparison).",validation,"[""373070d1-ba59-4244-88ab-2d44a21f4983"", ""d88b15dd-1915-43ca-90ef-69f31ff4d9c1"", ""ec61755d-b5be-42ac-875d-3123e92add7a""]",2728,2.0509,373,2355,13.673,2,3,True,False,True,True,False,True,4.0,False,alternative_not_selected
global_chronological_blocks,"All runs ordered globally by start time: earliest 4 train, next 3 validation, and all remaining runs test (an intentionally conservative legacy comparison).",test,"[""70577f8e-1430-4489-8602-2096521ab84e"", ""fac82c2e-545a-402a-80f8-3d1fccb72c68"", ""19127a70-e60c-4b47-b3e6-71e89175c174"", ""fc583c4c-4107-450e-959d-c74895b57935"", ""f81f7ffe-2f6d-4479-937f-cc82e574c286"", ""e4e219be-13ba-4874-aad6-93d0b6f5f289"", ""6c7905b0-5124-4d83-8709-a6176c981aec"", ""81d2476d-af90-434e-8518-502c7195564c"", ""67c192c0-13a4-427a-b8e3-193c8fd99883"", ""28ca5ae9-faed-4da3-8350-e2605f94aa88"", ""af502e6e-1657-4248-8b91-ce01c14277b9"", ""1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d"", ""9753a7c0-658b-4111-8e40-d347a98a680a"", ""d4a43abe-57cb-4513-b782-4b927879f358"", ""4c9f7e66-830f-4c54-bfd5-f4d898f5464e"", ""22fc3390-8d4a-4b01-b11e-c10adffcab2d"", ""ea7c3f9f-8a45-4892-8f21-a77488321622"", ""f3c83d3f-0563-4e35-aa47-2e79402b0105"", ""1e0bd844-6541-4320-8474-1b01bab00799"", ""e4d80512-c282-45fb-8d13-e4e33eebfd72"", ""6a1c86bc-1e52-4235-ac04-6d94cf1c3c5e"", ""f630b56e-4353-401a-bf40-5ed332d157f9"", ""00f4a034-46ce-498e-b844-f1aa52fc6800"", ""c89dd147-c631-4848-a604-72c697e9da2b"", ""b061a54a-3bc5-4bda-8e62-43c18a5efae6"", ""cc2a1e74-06e7-4cb1-92cd-6b21a91f240f"", ""a364637b-ebf8-43fa-8bd3-e46987008b24"", ""6035cb87-b9f3-4e5d-90f3-c7fea3d65d9c"", ""c3c80671-0ec8-4d3f-b82d-88838f02de24"", ""5d46b502-68d6-4762-adf6-dfc2fa98f132"", ""96f661cc-1233-4539-a814-c4c352953500"", ""0fc9db54-83d3-456a-b9ea-1aa8a6f66cf9"", ""1c32e36e-8e45-4887-823e-0ee6de7a5cfe"", ""cb0385d1-3fc6-46f1-83c5-f7338a4e7bac"", ""90c048bb-46c5-4345-a113-d3bc37b876cb"", ""baa2a6f4-7121-4bce-9c80-611ebc22ceaf"", ""bbe7c827-8a4d-4ba5-84f4-67c88a77fe20"", ""b1dd3935-56dd-4497-a77e-67128988e2c9"", ""35472c29-8dd3-49be-8d6b-1984d158745d"", ""5bca2646-6745-4bbb-987d-ccb0a4486506"", ""cf6e2a7e-5b3d-4f7b-a21f-e9ffd68b5268"", ""795ee584-86ed-4fe5-b317-3d022b850274"", ""93aafd38-c91e-42a7-b67f-90287b9dd6f7"", ""03b262cc-46f0-4837-a184-1eea22fdfdd0"", ""aa94b19f-b5c4-474e-ba62-cf034f43347f"", ""6ae194e7-276b-4eef-94d3-d67c6be4b535"", ""adc86181-d9a4-4cf6-a8be-4be144db7799"", ""ee6b8dde-602e-4c14-b533-43bcfcba11ea""]",114313,85.9393,49041,65272,42.9006,4,48,True,False,True,True,False,True,4.0,False,alternative_not_selected
multi_run_future_test,"Per four-run machine: earliest train, second validation, latest two test; a two-run machine contributes train and test.",train,"[""89cdc34b-e02b-43b4-9284-144276df508a"", ""d88b15dd-1915-43ca-90ef-69f31ff4d9c1"", ""2e9f4457-2a7f-4647-87ed-b86ac6343d33"", ""af502e6e-1657-4248-8b91-ce01c14277b9""]",12918,9.7116,792,12126,6.131,4,4,True,False,True,True,False,True,6.0,False,alternative_not_selected
