model,run_count,mean_pr_auc,median_pr_auc,minimum_pr_auc,maximum_pr_auc,std_pr_auc,mean_recall,minimum_recall,total_false_negatives,total_false_positives
official_lightgbm,2,0.6612951719018159,0.6612951719018159,0.5723103079655925,0.7502800358380391,0.08898486393622335,0.6283283449593977,0.4579278763594734,1042,1035
regularized_lightgbm,2,0.6610099532441671,0.6610099532441671,0.5459429997539302,0.7760769067344039,0.11506695349023682,0.6248678121331483,0.4361763022323984,1073,1184
