selection_rule,threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,difficult_run_precision,difficult_run_recall,difficult_run_f1,difficult_run_fp,difficult_run_fn,difficult_run_id
A_maximum_f1,0.49,0.9563892145369285,0.9424676524953789,0.9493774002094728,2126.0,186.0,249.0,4079.0,0.6423192771084337,0.08044982698961937,0.05753234750462107,0.9195501730103807,0.9310089127528798,0.8067010309278351,0.7461263408820024,0.7752321981424148,150.0,213.0,1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d
B_max_precision_recall_ge_0_90,0.63,0.9821428571428571,0.902264325323475,0.9405105973025049,2241.0,71.0,423.0,3905.0,0.5987951807228916,0.030709342560553632,0.09773567467652496,0.9692906574394463,0.9357774913814607,0.9065934065934066,0.5899880810488677,0.7148014440433214,51.0,344.0,1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d
C_minimum_fp_recall_ge_0_90,0.63,0.9821428571428571,0.902264325323475,0.9405105973025049,2241.0,71.0,423.0,3905.0,0.5987951807228916,0.030709342560553632,0.09773567467652496,0.9692906574394463,0.9357774913814607,0.9065934065934066,0.5899880810488677,0.7148014440433214,51.0,344.0,1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d
D_closest_to_0_50_recall_ge_0_90,0.5,0.9589719405800519,0.9396950092421442,0.9492356167580814,2138.0,174.0,261.0,4067.0,0.6387048192771084,0.07525951557093426,0.06030499075785582,0.9247404844290658,0.932217746835605,0.8167330677290837,0.733015494636472,0.7726130653266332,138.0,224.0,1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d
E_minimum_fn_recall_ge_0_90,0.02,0.6934294871794872,0.9997689463955638,0.81888720666162,399.0,1913.0,1.0,4327.0,0.9397590361445783,0.8274221453287197,0.0002310536044362292,0.17257785467128028,0.586173400533422,0.3955681282413956,1.0,0.5668918918918919,1282.0,0.0,1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d
recommended_run_aware,0.49,0.9563892145369285,0.9424676524953789,0.9493774002094728,2126.0,186.0,249.0,4079.0,0.6423192771084337,0.08044982698961937,0.05753234750462107,0.9195501730103807,0.9310089127528798,0.8067010309278351,0.7461263408820024,0.7752321981424148,150.0,213.0,1e11f9c7-7d25-4a5d-ae2a-f9bc6e91415d
