machine_id,run_id,segment_id,start_time,end_time,duration_seconds,row_count,median_interval_seconds,number_of_gaps_before_segment,safe_for_5min_label,safe_for_10min_label
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_015,2026-07-28 11:21:16.217000+00:00,2026-07-28 11:21:16.217000+00:00,0.0,1,,14,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_016,2026-07-28 11:21:30.140000+00:00,2026-07-28 11:21:30.140000+00:00,0.0,1,,15,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_017,2026-07-28 11:21:43.083000+00:00,2026-07-28 11:21:43.083000+00:00,0.0,1,,16,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_018,2026-07-28 11:21:54.179000+00:00,2026-07-28 11:25:58.006000+00:00,243.827,94,2.045,17,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_019,2026-07-28 11:26:17.585000+00:00,2026-07-28 11:26:17.585000+00:00,0.0,1,,18,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_020,2026-07-28 11:26:31.953000+00:00,2026-07-28 11:26:31.953000+00:00,0.0,1,,19,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_021,2026-07-28 11:26:46.317000+00:00,2026-07-28 11:26:46.317000+00:00,0.0,1,,20,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_022,2026-07-28 11:27:02.845000+00:00,2026-07-28 11:27:02.845000+00:00,0.0,1,,21,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_023,2026-07-28 11:27:20.920000+00:00,2026-07-28 11:27:20.920000+00:00,0.0,1,,22,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_024,2026-07-28 11:27:35.287000+00:00,2026-07-28 11:27:35.287000+00:00,0.0,1,,23,False,False
