model,train_pr_auc,validation_pr_auc,train_validation_pr_auc_gap,roc_auc,precision,recall,f1,tn,fp,fn,tp
official_lightgbm,0.9999959964501397,0.9689882774636283,0.031007718986511446,0.9588678123147418,0.8953944368445053,0.8996609548245212,0.8975226254685071,10152,1147,1095,9818
regularized_lightgbm,0.9999598745797942,0.9675938892289464,0.03236598535084778,0.9567988251859986,0.884942154736081,0.8971868413818381,0.8910224325431133,10026,1273,1122,9791
