horizon_minutes,target_role,total_rows,valid_rows,invalid_rows_near_segment_ends,positive_rows,negative_rows,positive_percentage,machines_with_positive_labels,total_machines,runs_with_positive_labels,total_runs
5,main_target,31059,26036,5023,3643,22393,13.9922,3,3,8,10
10,comparison_only,31059,22980,8079,4259,18721,18.5335,3,3,8,10
