run_id,model,true_class,rows,mean_probability,median_probability,p25_probability,p75_probability
baa2a6f4-7121-4bce-9c80-611ebc22ceaf,official_lightgbm,0,6855,0.20933424747120816,0.14220772637875506,0.06466732322208611,0.29502001441124903
baa2a6f4-7121-4bce-9c80-611ebc22ceaf,official_lightgbm,1,1747,0.5059266297466868,0.4256979906388899,0.15171049952711357,0.9109342582573495
baa2a6f4-7121-4bce-9c80-611ebc22ceaf,regularized_lightgbm,0,6855,0.19544887719602447,0.11056908916243896,0.05307936880738506,0.27210643172758675
baa2a6f4-7121-4bce-9c80-611ebc22ceaf,regularized_lightgbm,1,1747,0.47579129556509475,0.36827571349651733,0.121171239817253,0.8972807280831605
