model,trial_number,is_baseline_configuration,parameters_json,pr_auc,roc_auc,accuracy,precision,recall,f1,tn,fp,fn,tp,execution_time_seconds,status,selected_best
LightGBM,14,False,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 700, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.574621829345118, ""subsample"": 1.0}",0.9862219569896773,0.9697858436894384,0.9171686746987951,0.9696668324216807,0.9011090573012939,0.9341317365269461,2190,122,428,3900,7.672526499998639,success,False
LightGBM,15,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 14, ""min_child_samples"": 40, ""n_estimators"": 700, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.85}",0.981941651872348,0.9600295252927744,0.8923192771084337,0.9351963382317514,0.8969500924214417,0.9156740181625191,2043,269,446,3882,8.226288332996774,success,False
LightGBM,16,False,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_depth"": 14, ""min_child_samples"": 10, ""n_estimators"": 200, ""num_leaves"": 63, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1.0, ""subsample"": 1.0}",0.9819530003352233,0.9597920757408106,0.9022590361445784,0.9545342228811465,0.8925600739371534,0.9225074626865671,2128,184,465,3863,3.477035625001008,success,False
LightGBM,17,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 10, ""min_child_samples"": 80, ""n_estimators"": 500, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""scale_pos_weight"": 1.574621829345118, ""subsample"": 0.7}",0.9814901767202966,0.9596393724935879,0.8879518072289156,0.9289133556725706,0.8967190388170055,0.9125323301199153,2015,297,447,3881,7.370361416004016,success,False
LightGBM,18,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 14, ""min_child_samples"": 20, ""n_estimators"": 700, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1.0, ""subsample"": 0.7}",0.9818289298986611,0.9601293620362139,0.8899096385542169,0.938979741274103,0.8888632162661737,0.9132344213649851,2062,250,481,3847,12.761216583996429,success,False
LightGBM,19,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_samples"": 40, ""n_estimators"": 300, ""num_leaves"": 63, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 2.4794339054501657, ""subsample"": 0.7}",0.9845959804883304,0.9650854218766989,0.9,0.9087460954930835,0.9410813308687616,0.9246311010215664,1903,409,255,4073,2.528556249999383,success,False
LightGBM,20,False,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""max_depth"": 14, ""min_child_samples"": 10, ""n_estimators"": 700, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 2.4794339054501657, ""subsample"": 1.0}",0.9837339248943469,0.9643479891140974,0.8941265060240964,0.9245724994143828,0.9119685767097967,0.9182272885890427,1990,322,381,3947,7.820682332996512,success,False
RandomForest,1,True,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",0.9831621217918027,0.962839644801054,0.9039156626506024,0.9827315541601256,0.8678373382624769,0.9217177914110429,2246,66,572,3756,16.199648374997196,success,True
RandomForest,2,False,"{""bootstrap"": true, ""class_weight"": null, ""max_depth"": 40, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 500}",0.9792680201711823,0.952612224894307,0.8978915662650603,0.9546586945690084,0.8853974121996303,0.9187245264924478,2130,182,496,3832,30.941587708999577,success,False
RandomForest,3,False,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 500}",0.9804188383531807,0.9543341338927656,0.8996987951807229,0.940567853705486,0.9031885397412199,0.9214992927864215,2065,247,419,3909,223.1331407500038,success,False
RandomForest,4,False,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 5, ""n_estimators"": 200}",0.9823024830173045,0.9601147712809165,0.9102409638554216,0.9676691729323308,0.892097966728281,0.9283481606155326,2183,129,467,3861,10.308335583998996,success,False
RandomForest,5,False,"{""bootstrap"": true, ""class_weight"": ""balanced_subsample"", ""max_depth"": 40, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",0.980395399100365,0.9562945917466693,0.8933734939759036,0.9423264907135875,0.8909426987060998,0.9159144893111639,2076,236,472,3856,194.24872324999887,success,False
RandomForest,6,False,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}",0.9806371817703212,0.955307317283769,0.9033132530120482,0.9413314176245211,0.908271719038817,0.9245061147695203,2067,245,397,3931,89.5696192079995,success,False
RandomForest,7,False,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",0.9820755244269683,0.9589848871754857,0.9121987951807229,0.9703592062295906,0.8925600739371534,0.9298351185461547,2194,118,465,3863,516.9262256250004,success,False
RandomForest,8,False,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""n_estimators"": 300}",0.9826482197728291,0.9621441854441026,0.8864457831325301,0.9770421783235451,0.8456561922365989,0.9066138221451573,2226,86,668,3660,11.281336084000941,success,False
RandomForest,9,False,"{""bootstrap"": false, ""class_weight"": ""balanced_subsample"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""min_samples_split"": 20, ""n_estimators"": 500}",0.9811540877351481,0.9569507759883338,0.9128012048192771,0.9680399500624219,0.8957948243992606,0.9305172206888276,2184,128,451,3877,505.2958434579996,success,False
RandomForest,10,False,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": 30, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 500}",0.9815628032957247,0.9590520446245259,0.903012048192771,0.9794377928162415,0.8694547134935305,0.9211750305997553,2233,79,565,3763,18.59169779199874,success,False
RandomForest,11,False,"{""bootstrap"": false, ""class_weight"": null, ""max_depth"": 40, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""n_estimators"": 200}",0.9797232818607363,0.955390164791588,0.8912650602409639,0.9406158357771262,0.8893253234750462,0.914251781472684,2069,243,479,3849,19.016511957997864,success,False
RandomForest,12,False,"{""bootstrap"": false, ""class_weight"": null, ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 200}",0.9752929619468815,0.939837069232934,0.9004518072289157,0.9517122443951712,0.8925600739371534,0.9211875521640635,2116,196,465,3863,250.2256212909997,success,False
