machine_id,run_id,rows,positive_rate,positive_count,negative_count,official_pr_auc,official_roc_auc,official_precision,official_recall,official_f1,official_fp,official_fn,regularized_pr_auc,regularized_roc_auc,regularized_precision,regularized_recall,regularized_f1,regularized_fp,regularized_fn,delta_pr_auc,delta_recall,delta_precision,delta_f1,delta_fn,fn_reduction,delta_fp,fp_reduction
0890dcc046c079acc4de4202,90c048bb-46c5-4345-a113-d3bc37b876cb,3024,0.0,0,3024,0.0,,0.0,0.0,0.0,74,0,0.0,,0.0,0.0,0.0,39,0,0.0,0.0,0.0,0.0,0,0,-35,35
7232bc533c21ce408d45d473,f3c83d3f-0563-4e35-aa47-2e79402b0105,1789,0.2638345444382337,472,1317,0.7502800358380391,0.8175006113020089,0.4772151898734177,0.798728813559322,0.5974643423137876,413,95,0.7760769067344039,0.825950252885989,0.43686006825938567,0.8135593220338984,0.5684678016284234,495,88,0.025796870896364732,0.014830508474576343,-0.04035512161403204,-0.02899654068536428,-7,7,82,-82
7232bc533c21ce408d45d473,96f661cc-1233-4539-a814-c4c352953500,247,0.582995951417004,144,103,0.9621251548801484,0.9446467098166128,0.7900552486187845,0.9930555555555556,0.88,38,1,0.9521278585335897,0.9266450916936354,0.7382198952879581,0.9791666666666666,0.8417910447761194,50,3,-0.00999729634655866,-0.01388888888888895,-0.05183535333082645,-0.03820895522388057,2,-2,12,-12
7232bc533c21ce408d45d473,b1dd3935-56dd-4497-a77e-67128988e2c9,268,1.0,268,0,1.0,,1.0,0.8171641791044776,0.8993839835728953,0,49,1.0,,1.0,0.8395522388059702,0.9127789046653144,0,43,0.0,0.022388059701492602,0.0,0.013394921092419132,-6,6,0,0
a0f8c86097e55fbfa506d057,0fc9db54-83d3-456a-b9ea-1aa8a6f66cf9,5,1.0,5,0,1.0,,1.0,1.0,1.0,0,0,1.0,,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
a0f8c86097e55fbfa506d057,baa2a6f4-7121-4bce-9c80-611ebc22ceaf,8602,0.20309230411532203,1747,6855,0.5723103079655925,0.7455359756039006,0.5625879043600562,0.4579278763594734,0.5048911328494793,622,947,0.5459429997539302,0.7264123931115423,0.5251550654720882,0.4361763022323984,0.47654784240150094,689,985,-0.02636730821166222,-0.021751574127075013,-0.037432838887968,-0.028343290447978342,38,-38,67,-67
d588df123ac0d0ce20b112ac,35472c29-8dd3-49be-8d6b-1984d158745d,8277,1.0,8277,0,1.0,,1.0,0.9996375498368975,0.9998187420699656,0,3,1.0,,1.0,0.9996375498368975,0.9998187420699656,0,3,0.0,0.0,0.0,0.0,0,0,0,0
