machine_id,run_id,issue_type,timestamp,gap_seconds,severity,explanation
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T11:35:25.553000+00:00,11.119,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T11:37:51.213000+00:00,12.303,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T11:38:02.738000+00:00,11.525,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T11:44:07.098000+00:00,10.236,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T11:58:31.449000+00:00,11.224,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:10:53.034000+00:00,653.195,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:22:28.066000+00:00,13.085,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:22:42.048000+00:00,13.982,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:22:56.551000+00:00,14.503,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:23:09.536000+00:00,12.985,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:23:21.422000+00:00,11.886,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:23:33.575000+00:00,12.153,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:23:45.490000+00:00,11.915,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:23:57.428000+00:00,11.938,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:24:09.269000+00:00,11.841,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:24:21.482000+00:00,12.213,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:24:33.576000+00:00,12.094,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:24:45.271000+00:00,11.695,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:24:57.209000+00:00,11.938,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:25:08.397000+00:00,11.188,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:51:35.293000+00:00,1092.796,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:51:47.312000+00:00,10.062,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:51:57.943000+00:00,10.631,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:52:09.376000+00:00,11.433,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:52:19.515000+00:00,10.139,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:52:31.309000+00:00,10.151,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:52:51.416000+00:00,10.173,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:53:03.564000+00:00,10.398,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:53:15.346000+00:00,10.135,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T12:53:35.436000+00:00,10.363,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,large_gap,2026-07-28T13:01:07.489000+00:00,10.208,warning,Interval exceeds the 5× normal-interval threshold of 10.030 seconds.
