feature_name,training_data_type,training_missing_count,training_missing_percentage,training_unique_count,training_infinite_count,retained_or_removed,reason,median_learned_from_train,missing_indicator_created,high_training_missingness_20pct
ram_pct_diff,float64,21,0.1401,147,0.0,retained,retained_numeric_training_feature,0.0,True,False
swap_pct_diff,float64,21,0.1401,39,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_latency_ms_diff,float64,25,0.1667,2283,0.0,retained,retained_numeric_training_feature,0.0,True,False
context_switches_per_s_diff,float64,7368,49.1429,7517,0.0,retained,retained_numeric_training_feature,12.900000000000093,True,True
context_switches_per_s_missing,int64,0,0.0,2,0.0,retained,retained_numeric_training_feature,0.0,False,False
network_latency_ms_missing,int64,0,0.0,2,0.0,retained,retained_numeric_training_feature,0.0,False,False
valid_5min_horizon,bool,0,0.0,1,,removed,excluded_identifier_target_metadata_or_leakage,,False,False
slowdown_in_5min,float64,0,0.0,2,,removed,excluded_identifier_target_metadata_or_leakage,,False,False
valid_10min_horizon,bool,0,0.0,2,,removed,excluded_identifier_target_metadata_or_leakage,,False,False
slowdown_in_10min,float64,1965,13.1061,2,,removed,excluded_identifier_target_metadata_or_leakage,,False,False
