threshold,precision,recall,f1,fp,fn,predicted_positive_rate,candidate_rules
0.02,0.6934294871794872,0.9997689463955638,0.81888720666162,1913,1,0.9397590361445783,E_minimum_fn_recall_ge_0_90
0.2,0.824,0.975739371534196,0.8934729715434254,902,105,0.7718373493975904,representative_only
0.3,0.8789473684210526,0.964648798521257,0.9198061246970698,575,153,0.7153614457831325,representative_only
0.4,0.9286678667866787,0.9535582255083179,0.9409484724122207,317,201,0.6692771084337349,representative_only
0.49,0.9563892145369285,0.9424676524953789,0.9493774002094728,186,249,0.6423192771084337,A_maximum_f1;recommended_run_aware
0.5,0.9589719405800519,0.9396950092421442,0.9492356167580814,174,261,0.6387048192771084,D_closest_to_0_50_recall_ge_0_90
0.6,0.9767269126021293,0.9115064695009242,0.9429903191107925,94,383,0.6082831325301205,representative_only
0.63,0.9821428571428571,0.902264325323475,0.9405105973025049,71,423,0.5987951807228916,B_max_precision_recall_ge_0_90;C_minimum_fp_recall_ge_0_90
0.7,0.9902288506042685,0.8897874306839186,0.9373250578069855,38,477,0.5856927710843374,representative_only
0.8,0.996046389035319,0.8731515711645101,0.930558975621768,15,549,0.5713855421686747,representative_only
