group,rows,mean_probability,median_probability,p10,p25,p75,p90,count_probability_below_0_2,count_probability_below_0_3,count_probability_below_0_4,count_probability_below_0_5
true_negative,6855,0.20933424747120816,0.142207726378755,0.03195481427713007,0.0646673232220861,0.2950200144112489,0.48255585705511783,4269,5172,5762,6233
true_positive_actual,1747,0.5059266297466868,0.4256979906388899,0.07822708922383884,0.15171049952711355,0.9109342582573495,0.9911056250140711,526,689,852,947
correctly_detected_positive,800,0.8637091924900531,0.9334509274941386,0.6125835993789286,0.779358065025382,0.987800264935083,0.9967441202749173,0,0,0,0
false_negative,947,0.20368159258228025,0.1705566541552009,0.05161952890386175,0.0966575546257035,0.3107734778892675,0.40021291812800114,526,689,852,947
