model,search_method,candidates_tested,search_time_seconds,best_parameters_json,baseline_validation_pr_auc,tuned_validation_pr_auc,pr_auc_improvement,baseline_validation_roc_auc,tuned_validation_roc_auc,tuned_train_pr_auc,train_validation_pr_auc_gap,tuned_validation_precision,tuned_validation_recall,tuned_validation_f1,tuned_validation_tn,tuned_validation_fp,tuned_validation_fn,tuned_validation_tp,tuning_improved_pr_auc,overfitting_warning,train_positive_rate,validation_positive_rate
LightGBM,seeded custom randomized search on fixed validation PR-AUC,20,112.01428770799976,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""scale_pos_weight"": 2.4794339054501657, ""subsample"": 1.0}",0.9868316518998802,0.9868316518998802,0.0,0.9708636607845268,0.9708636607845269,0.9999993962014095,0.013167744301529338,0.9602713178294574,0.9158964879852126,0.9375591296121097,2148,164,364,3964,False,True,0.28740307394073666,0.6518072289156627
RandomForest,seeded custom randomized search on fixed validation PR-AUC,12,1885.7406818750023,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",0.9831621217918028,0.9831621217918027,-1.1102230246251565e-16,0.962839644801054,0.962839644801054,1.0,0.016837878208197266,0.9827315541601256,0.8678373382624769,0.9217177914110429,2246,66,572,3756,False,True,0.28740307394073666,0.6518072289156627
